ID,requisition_RequisitionID,ItemNumber,spec_SpecNumber,material_MaterialNumber,Quantity,UoM,AvailableQty,Criticality
a1b2c3d4-0001-0001-0001-000000000001,REQ-1001,10,23300000018,T1800330,5.000,KG,0.000,5
a1b2c3d4-0001-0002-0001-000000000002,REQ-1001,20,23300000027,T1M018691,2.500,KG,1.200,2
a1b2c3d4-0001-0003-0001-000000000003,REQ-1001,30,23000000047,T1M015615,1.000,KG,5.000,3
a1b2c3d4-0002-0001-0002-000000000004,REQ-1002,10,23300000035,T1M143532,3.000,KG,0.000,1
a1b2c3d4-0002-0002-0002-000000000005,REQ-1002,20,23000000048,T1M061527,2.000,KG,2.500,5
a1b2c3d4-0003-0001-0003-000000000006,REQ-1003,10,23000002907,PH03200000,10.000,KG,3.000,2
a1b2c3d4-0003-0002-0003-000000000007,REQ-1003,20,23300000018,T1800330,4.000,KG,0.000,1
a1b2c3d4-0004-0001-0004-000000000008,REQ-1004,10,23000000052,T1M022042,1.500,KG,8.000,5
a1b2c3d4-0004-0002-0004-000000000009,REQ-1004,20,23300000027,T1M018691,5.000,KG,0.500,2
a1b2c3d4-0005-0001-0005-000000000010,REQ-1005,10,23000000037,T1082806,2.000,KG,0.000,1
a1b2c3d4-0005-0002-0005-000000000011,REQ-1005,20,23300000035,T1M143532,0.500,KG,1.000,5
a1b2c3d4-0006-0001-0006-000000000012,REQ-1006,10,23300000018,T1800330,8.000,KG,2.000,2
a1b2c3d4-0006-0002-0006-000000000013,REQ-1006,20,23000000047,T1M015615,3.000,KG,0.000,1
a1b2c3d4-0007-0001-0007-000000000014,REQ-1007,10,23000000048,T1M061527,4.000,KG,4.500,3
a1b2c3d4-0007-0002-0007-000000000015,REQ-1007,20,23000002907,PH03200000,2.500,KG,0.000,1
a1b2c3d4-0008-0001-0008-000000000016,REQ-1008,10,23000000052,T1M022042,3.000,KG,10.000,3
a1b2c3d4-0008-0002-0008-000000000017,REQ-1008,20,23300000027,T1M018691,1.000,KG,0.800,2
a1b2c3d4-0009-0001-0009-000000000018,REQ-1009,10,23000000037,T1082806,5.000,KG,0.000,1
a1b2c3d4-0009-0002-0009-000000000019,REQ-1009,20,23300000035,T1M143532,2.000,KG,2.500,3
a1b2c3d4-0010-0001-0010-000000000020,REQ-1010,10,23300000018,T1800330,6.000,KG,1.500,2
